Rank,image_path,name,mudra,origin,medium,topic
1,data/crop/FS-2814_22h.png,Buddha,abhaya,Bangladesh,Copper alloy,Buddhism   Buddha   casting   lotus   Pala-Sena dynasty (750 - 1100)   Bangladesh   abhaya mudra   South Asian and Himalayan Art   WWII-era provenance  
2,data/crop/FS-4044_17h.png,Standing Vishnu,abhaya,"Tamil Nadu state, India",Granite,Hinduism   Vishnu   Chola dynasty (850 - 1280)   India   abhaya mudra   South Asian and Himalayan Art   sudarshana chakra   WWII-era provenance  
3,data/crop/FS-5111_10.png,Buddhas and Bodhisattvas,anjali,unknown,Ink and color on paper,Buddhism   Buddha   bodhisattva   Modern period (1912 - present)   forgery   China   anjali mudra   Chinese Art  
4,data/crop/FS-5168_07.png,Horokaku Mandara: The Buddha and attendant divinities,undefined,Japan,Color and gold on silk panel,Buddhism   Buddha   Heian period (794 - 1185)   stupa   mandala   vajra   prayer beads   Japan   throne   Vaisravana   Virudhaka   Dhritarastra   preaching   dharmachakra   Mahakala   Vajrapani   Mount Meru   mudra   kakemono   Japanese Art   attendant  
5,data/crop/FS-5368_07_abhaya.png,Buddhist stele,abhaya,"Henan,China",Limestone,Buddhism   dragon   Buddha   bodhisattva   lion   Northern Wei dynasty (386 - 534)   China   lettering   abhaya mudra   varada mudra   Chinese Art   WWII-era provenance  
6,data/crop/FS-5368_07_varada.png,Buddhist stele,varada,"Henan,China",Limestone,Buddhism   dragon   Buddha   bodhisattva   lion   Northern Wei dynasty (386 - 534)   China   lettering   abhaya mudra   varada mudra   Chinese Art   WWII-era provenance  
7,data/crop/FS-5600_06.png,Sakyamuni enthroned; and biographical scenes,bhumisparsha,"Tibet,China",Opaque watercolor on cloth,Buddhism   throne   Tibet   worshiper   Shakyamuni   bhumisparsha mudra   South Asian and Himalayan Art   thangka  
8,data/crop/FS-5600_07.png,Lamaist mandala,anjali,"Tibet,China",Color and gold on canvas,Buddhism   mandala   Tibet   dharmachakra   Hayagriva   Mahakala   Vajradhara   anjali mudra   South Asian and Himalayan Art   thangka  
9,data/crop/FS-5600_11.png,Lamaist saint—divinities and other saints,vitarka,"Tibet,China",Color on canvas,Buddhism   Tibetan Buddhism   horse   lama   halo   Tibet   vitarka mudra   kalasa   kundika   South Asian and Himalayan Art   thangka  
10,data/crop/FS-5600_12.png,Sitatapatra (Sitatapatrosnisa ?) and thirty other divinities,dhyana,"Tibet,China",Color and gold on canvas,Buddhism   Tibetan Buddhism   bell   vajra   bow   halo   Tibet   axe   Sitatapatra   dhyana mudra   South Asian and Himalayan Art   thangka  
11,data/crop/FS-5601_03.png,"Sakyamuni, saints, and divinities",bhumisparsha,"Tibet,China",Color on canvas,Buddhism   halo   Tibet   Shakyamuni   mandorla   bhumisparsha mudra   South Asian and Himalayan Art   thangka  
12,data/crop/FS-5601_04.png,The Vision of Khas-grub-dje with Tsonk'a-pa appearing to him on an elephant,dharmachakra,"Tibet,China",Opaque watercolor on cloth,Buddhism   elephant   mandala   Tibet   Mahakala   Tsongkhapa   Yamantaka   Padmasambhava   dharmachakra mudra   South Asian and Himalayan Art   thangka  
13,data/crop/FS-5610_10.png,Amitabha (Amida) welcoming souls to paradise,vitarka,Japan,Color and gold on silk,Buddhism   Muromachi period (1333 - 1573)   Amitabha Buddha   Japan   halo   dharmakaya-vitarka mudra   kakemono   Japanese Art  
14,data/crop/FS-5615_08_abhaya.png,The Eight Medicine Buddhas,abhaya,"Tibet,China",Opaque watercolor and gold on canvas,Buddhism   lotus   medicine   mandala   Tibet   dharmachakra   Buddha Bhaisajyaguru   abhaya mudra   varada mudra   dharmachakra mudra   dhyana mudra   anjali mudra   South Asian and Himalayan Art   thangka  
15,data/crop/FS-5615_08_varada.png,The Eight Medicine Buddhas,varada,"Tibet,China",Opaque watercolor and gold on canvas,Buddhism   lotus   medicine   mandala   Tibet   dharmachakra   Buddha Bhaisajyaguru   abhaya mudra   varada mudra   dharmachakra mudra   dhyana mudra   anjali mudra   South Asian and Himalayan Art   thangka  
